steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher
52,Wasteland 2: Director's Cut,September,2014,14.99,"500,000","1,000,000","750,000",inXile Entertainment,inXile Entertainment
53,Dying Light,January,2015,29.99,"20,000","20,000","20,000",Techland,Techland
54,Six Ages: Ride Like the Wind,October,2019,19.99,"20,000","50,000","35,000",A Sharp,Kitfox Games
55,Age of Wonders II: The Wizard's Throne,October,2010,9.99,"50,000","100,000","75,000",Triumph Studios,Paradox Interactive
56,魔物讨伐团,August,2018,12.99,"20,000","50,000","35,000",Nerdook Productions,Surefire.Games
57,Dungeon Siege,April,2002,6.99,"500,000","1,000,000","750,000",Gas Powered Games,Square Enix
58,Bug Fables: The Everlasting Sapling,November,2019,19.99,"50,000","100,000","75,000",Moonsprout Games,DANGEN Entertainment
59,Fallout 2: A Post Nuclear Role Playing Game,August,2009,9.99,"500,000","1,000,000","750,000",Black Isle Studios,Bethesda Softworks
60,CrossCode,September,2018,19.99,"200,000","500,000","350,000",Radical Fish Games,"Deck13, WhisperGames, DANGEN Entertainment, Mayflower Entertainment"
61,The Lord of the Rings Online,June,2012,0,"2,000,000","5,000,000","3,500,000","Standing Stone Games, LLC","Standing Stone Games, LLC"
62,ENDER LILIES: Quietus of the Knights,June,2021,24.99,"200,000","500,000","350,000","Live Wire, Adglobe",Binary Haze Interactive
63,Nioh 2 – The Complete Edition,February,2021,29.99,"500,000","1,000,000","750,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
64,Mass Effect Legendary Edition,May,2021,59.99,"500,000","1,000,000","750,000",BioWare,Electronic Arts
65,Bastion,August,2011,2.24,"2,000,000","5,000,000","3,500,000",Supergiant Games,Supergiant Games
66,Yakuza 0,August,2018,19.99,"1,000,000","2,000,000","1,500,000",SEGA,SEGA
67,The Witcher: Enhanced Edition Director's Cut,September,2008,9.99,"1,000,000","2,000,000","1,500,000",CD PROJEKT RED,"CD PROJEKT RED, 1C-SoftClub"
68,Path of Exile,October,2013,0,"20,000,000","50,000,000","35,000,000",Grinding Gear Games,Grinding Gear Games
69,Cyberpunk 2077,December,2020,59.99,"10,000,000","20,000,000","15,000,000",CD PROJEKT RED,CD PROJEKT RED
70,Wizardry 8,November,2001,9.99,"100,000","200,000","150,000",Sir-Tech Canada,"Drecom Co. Ltd., Nightdive Studios"
71,Chaos Reborn,October,2015,9.99,"50,000","100,000","75,000",Snapshot Games Inc.,Snapshot Games Inc.
72,System Shock: Enhanced Edition,September,2015,9.99,"200,000","500,000","350,000","Looking Glass Studios, Nightdive Studios",Nightdive Studios
73,Full Metal Furies,January,2018,19.99,"200,000","500,000","350,000",Cellar Door Games,Cellar Door Games
74,Planescape: Torment: Enhanced Edition,April,2017,19.99,"200,000","500,000","350,000",Beamdog,Beamdog
75,TUNIC,March,2022,29.99,"200,000","500,000","350,000",TUNIC Team,Finji
76,DRAGON QUEST BUILDERS 2,December,2019,29.99,"200,000","500,000","350,000","Square Enix, KOEI TECMO GAMES CO., LTD.",Square Enix
77,The Legend of Heroes: Trails in the Sky,July,2014,19.99,"200,000","500,000","350,000",Nihon Falcom,"XSEED Games, Marvelous USA, Inc."
78,Dragon Age Inquisition,June,2020,39.99,"200,000","500,000","350,000",BioWare,Electronic Arts
79,Death's Door,July,2021,19.99,"200,000","500,000","350,000",Acid Nerve,Devolver Digital
80,Thronebreaker: The Witcher Tales,November,2018,19.99,"500,000","1,000,000","750,000",CD PROJEKT RED,CD PROJEKT RED
81,Wasteland 3,August,2020,16.49,"200,000","500,000","350,000",inXile Entertainment,inXile Entertainment
82,Rogue Legacy,June,2013,14.99,"1,000,000","2,000,000","1,500,000",Cellar Door Games,Cellar Door Games
83,STAR WARS Knights of the Old Republic II - The Sith Lords,February,2005,9.99,"1,000,000","2,000,000","1,500,000","Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney, Lucasfilm, Aspyr (Mac, Linux)"
84,STAR WARS: The Old Republic,December,2011,0,"5,000,000","10,000,000","7,500,000",BioWare,Electronic Arts
85,DARK SOULS: Prepare To Die Edition,August,2012,4.99,"2,000,000","5,000,000","3,500,000",FromSoftware,Bandai Namco Entertainment
86,Giants: Citizen Kabuto,December,2000,9.99,"20,000","20,000","20,000",Planet Moon Studios,Interplay
87,Guild Wars Factions,April,2009,19.99,"20,000","20,000","20,000",ArenaNet®,NCSOFT
88,Guild Wars Nightfall,April,2009,19.99,"20,000","20,000","20,000",ArenaNet®,NCSOFT
89,Fallout New Vegas Old World Blues,October,2010,9.99,"20,000","20,000","20,000",Obsidian Entertainment,Bethesda Softworks
90,Wayward Strand,September,2022,19.99,"20,000","20,000","20,000",ghost pattern,ghost pattern
91,Fuga: Melodies of Steel,July,2021,39.99,"20,000","50,000","35,000",CyberConnect2,CyberConnect2
92,Reigns: Game of Thrones,October,2018,3.99,"50,000","100,000","75,000",Nerial,Devolver Digital
93,The Bard's Tale IV: Director's Cut,August,2019,17.49,"20,000","50,000","35,000",inXile Entertainment,inXile Entertainment
94,Infernax,February,2022,19.99,"20,000","50,000","35,000",Berzerk Studio,The Arcade Crew
95,UNSIGHTED,September,2021,19.99,"20,000","50,000","35,000",Studio Pixel Punk,Humble Games
96,Atelier Ryza 2: Lost Legends & the Secret Fairy,January,2021,29.99,"100,000","200,000","150,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
97,Gordian Quest,June,2022,19.99,"50,000","100,000","75,000","Mixed Realms Pte Ltd, Swag Soft Holdings Pte Ltd","Mixed Realms Pte Ltd, Coconut Island Games"
98,Rakuen,May,2017,9.99,"100,000","200,000","150,000",Laura Shigihara,Laura Shigihara
99,The Forgotten City,July,2021,24.99,"200,000","500,000","350,000",Modern Storyteller,Dear Villagers
100,RIFT,October,2013,0,"2,000,000","5,000,000","3,500,000",gamigo US Inc.,gamigo US Inc.
101,FINAL FANTASY IX,April,2016,10.49,"500,000","1,000,000","750,000",Square Enix,Square Enix
102,Hyper Light Drifter,March,2016,19.99,"500,000","1,000,000","750,000",Heart Machine,Heart Machine
103,Salt and Sanctuary,May,2016,17.99,"500,000","1,000,000","750,000",Ska Studios,Ska Studios
