steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher
1800,Major\Minor,December,2015,9.99,"20,000","50,000","35,000",Klace,Klace
1801,Rogalia,October,2018,0,"20,000","50,000","35,000","TatriX, Nanalli",TatriX
1802,Marvel: Ultimate Alliance,July,2016,39.99,"20,000","50,000","35,000",Zoë Mode,Activision
1803,绮罗四时谭,October,2019,0,"20,000","50,000","35,000",EveRecord,EveRecord
1804,Zoria: Age of Shattering Prologue,April,2020,0,"100,000","200,000","150,000",Tiny Trinket Games,Anshar Publishing
1805,"7,62 Hard Life",October,2015,4.99,"50,000","100,000","75,000",HLA team,Fulqrum Publishing
1806,UFO Online: Invasion,June,2016,0,"200,000","500,000","350,000",Bad Pixel,Bad Pixel
1807,Swarm Simulator: Evolution,February,2019,0,"50,000","100,000","75,000",Scary Bee LLC,Scary Bee LLC
1808,A Book of Beasts and Buddies,October,2018,0,"50,000","100,000","75,000",Squiddershins,Squiddershins
1809,Crusaders of Light,April,2017,0,"100,000","200,000","150,000",Hong Kong Netease Interactive Entertainment Limited,Hong Kong Netease Interactive Entertainment Limited
1810,Heroes Evolved,January,2017,0,"200,000","500,000","350,000",Net Dragon,R2Games
1811,Mothlight,August,2017,0,"20,000","50,000","35,000",Samu,Samu
1812,绝望监牢 / 絶望プリズン,February,2020,0,"100,000","200,000","150,000",STUDIO WASABI,Pujia8 Studio
1813,Project Morpheus: Prologue,January,2021,0,"20,000","50,000","35,000",Team Ranger,Lightning Games
1814,Knock Harder: Useless,January,2020,0,"20,000","50,000","35,000",Snail-Ninja Studio,Snail-Ninja Studio
1815,TUG,March,2014,9.99,"20,000","50,000","35,000",Nerd Kingdom Inc.,Nerd Kingdom Inc.
1816,Revelation Online,February,2017,0,"200,000","500,000","350,000",Netease Games,MY.GAMES
1817,Karos Returns,February,2017,0,"100,000","200,000","150,000",Galaxy Gate,RedFox Games
1818,Puzzle Pirates: Dark Seas,July,2018,0,"100,000","200,000","150,000",Grey Havens,Grey Havens
1819,Skara - The Blade Remains,February,2017,0,"200,000","500,000","350,000",Atomic Kraken,Atomic Kraken
1820,Merchant,January,2015,0,"100,000","200,000","150,000",Retora Games,Retora Games
1821,Nocturne: Prelude,March,2020,0,"100,000","200,000","150,000",Pracy Studios,Pracy Studios
1822,The Emperor's Own: Alpha Teaser,November,2020,0,"100,000","200,000","150,000",Volga Studios,Volga Studios
1823,RPG World - Action RPG Maker,July,2020,0,"20,000","50,000","35,000",RaveyLarge,RaveyLarge
1824,Fiesta Online NA,February,2008,0,"200,000","500,000","350,000",Onson Soft,gamigo AG
1825,Who Is Mike - A Visual Novel,September,2015,0,"50,000","100,000","75,000",Fervent,Afterthought Studios
1826,Tale of Toast,February,2018,0,"200,000","500,000","350,000",Toasty Leaf AB,Toasty Leaf AB
1827,Warlords Awakening,November,2018,11.99,"20,000","50,000","35,000",PLAYWITH Inc.,PLAYWITH Interactive Inc.
1828,Elon Simulator 2019,October,2019,0,"50,000","100,000","75,000",SRS Games,SRS Games
1829,Lost Memories 3 Side Stories,April,2020,0,"50,000","100,000","75,000",神族宝,神族宝
1830,Florensia,November,2016,0,"200,000","500,000","350,000",AHA Entertainment,Giiku Games
1831,Nostos,December,2019,19.99,"20,000","50,000","35,000",NetEase Games,NetEase Games
1832,Stellar Overload,October,2016,19.99,"20,000","20,000","20,000",Cubical Drift,Cubical Drift
1833,Major\Minor - Complete Edition,October,2016,0,"50,000","100,000","75,000",Klace,Klace
1834,Deepworld,April,2015,0,"200,000","500,000","350,000",Bytebin,Bytebin
1835,MilMo,December,2009,0,"200,000","500,000","350,000",Dohi Sweden AB,Dohi Sweden AB
1836,LuckCatchers,November,2016,0,"200,000","500,000","350,000",DiP Online,DiP Online
1837,Stash,September,2017,0,"100,000","200,000","150,000",Frogdice,Frogdice
1838,Leafling,December,2020,0,"200,000","500,000","350,000",Celtaria Productions,Celtaria Productions
1839,Divine Souls F2P MMO,November,2014,0,"500,000","1,000,000","750,000",GamePrix,Suba Games
1840,The Bottom of the Well,January,2016,0,"50,000","100,000","75,000",Red Nettle Studio,Red Nettle Studio
1841,Kings and Heroes,November,2017,24.89,"20,000","50,000","35,000",Industry Games,Industry Games
1842,cyberpunkdreams,May,2021,0,"50,000","100,000","75,000",Late Night Games,Late Night Games
1843,Warriors: Rise to Glory! Online Multiplayer Open Beta,January,2021,0,"50,000","100,000","75,000",Gavra Games,Gavra Games
1844,Orake Classic,August,2016,0,"200,000","500,000","350,000",PigLion Games,PigLion Games
1845,XXZ,September,2017,0,"50,000","100,000","75,000",L. Stotch,L. Stotch
1846,Man O' War: Corsair - Warhammer Naval Battles,April,2017,29.99,"20,000","50,000","35,000",Evil Twin Artworks,Evil Twin Artworks
1847,NAVYFIELD,March,2000,0,"200,000","500,000","350,000",SDEnterNET,Naiadgames
1848,Deuterium Wars,October,2019,0,"100,000","200,000","150,000",Disquire,Disquire
1849,Eternal Magic,April,2020,0,"100,000","200,000","150,000",Duoyi,101XP
1850,Helmet Heroes,March,2013,0,"200,000","500,000","350,000",Helmet Games,Helmet Games
1851,Black Skylands: Origins,April,2020,17.11,"200,000","500,000","350,000",Hungry Couch Games,tinyBuild
1852,(Chinese PaladinSword and Fairy 4),September,2017,5.99,"20,000","50,000","35,000","Softstar Technology (Shanghai) Co., Ltd.","Beijing New Era Network Technology Co., Ltd."
1853,Incremental Adventures,August,2020,0,"100,000","200,000","150,000",Gniller,Gniller
1854,Hellpoint: The Thespian Feast,February,2020,0,"20,000","50,000","35,000",Cradle Games,tinyBuild
1855,stein.world,April,2019,0,"50,000","100,000","75,000",pg5-Studio,pg5-Studio
1856,Atlantica Global,May,2020,0,"100,000","200,000","150,000","VALOFE, NEXON",VALOFE
1857,Atelier Lydie & Suelle ~The Alchemists and the Mysterious Paintings~,March,2018,59.99,"20,000","50,000","35,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
1858,Gods and Idols,December,2016,0,"100,000","200,000","150,000",Viking Tao,Viking Tao
1859,Atelier Firis: The Alchemist and the Mysterious Journey / フィリスのアトリエ ～不思議な旅の錬金術士～,March,2017,9.29,"20,000","50,000","35,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
1860,Requiem: Rise of the Reaver,June,2008,0,"200,000","500,000","350,000","Gravity Interactive, Inc.","Gravity Interactive, Inc."
1861,The Lord of the Rings: Journeys in Middle-earth,April,2019,0,"100,000","200,000","150,000",Fantasy Flight Games,Fantasy Flight Games
1862,Pox Nora,October,2014,0,"200,000","500,000","350,000",Desert Owl Games LLC,Desert Owl Games LLC
1863,Introvert: A Teenager Simulator,March,2021,0,"50,000","100,000","75,000",Euphoric Brothers,Euphoric Brothers
1864,Perpetuum,October,2014,0,"20,000","50,000","35,000",Avatar Creations,Gamestorm Ltd
1865,The Elder Scrolls Online - Greymoor,May,2020,52.79,"20,000","20,000","20,000",Zenimax Online Studios,Bethesda Softworks
1866,Wizard And Minion Idle,February,2019,0,"50,000","100,000","75,000",Oni Gaming,Oni Gaming
1867,Tactical Craft Online,February,2016,0,"200,000","500,000","350,000",Crematorium of Time,Crematorium of Time
1868,Second Galaxy,September,2019,0,"100,000","200,000","150,000",Zilong Game Limited,Zilong Game Limited
1869,B100X - Auto Dungeon RPG,January,2021,0,"50,000","100,000","75,000",Nussygame,Nussygame
1870,Scarlet Hollow,September,2020,0,"100,000","200,000","150,000",Black Tabby Games,Black Tabby Games
1871,Twin Saga,April,2017,0,"200,000","500,000","350,000",X-Legend,Aeria Games
1872,Mojo: Hanako,July,2018,0,"50,000","100,000","75,000",L. Stotch,L. Stotch
1873,RaidLand,May,2020,0,"100,000","200,000","150,000",SideQuestNZ,Blue Wizard Digital
1874,Navy Field 2 : Conqueror of the Ocean,March,2015,0,"500,000","1,000,000","750,000",SDEnterNet,SDEnterNet
1875,Onigiri,March,2019,0,"100,000","200,000","150,000","CyberStep, Inc.","CyberStep, Inc."
1876,The Ship: Single Player,November,2006,9.99,"200,000","500,000","350,000",Outerlight Ltd.,Blazing Griffin Ltd.
1877,CosmicBreak Universal,December,2008,0,"200,000","500,000","350,000","CyberStep, Inc.","CyberStep, Inc."
1878,VR Flush,June,2018,0,"50,000","100,000","75,000",Brudingo Team,Brudingo Team
1879,VALKYRIE CONNECT,April,2020,0,"200,000","500,000","350,000",Ateam Entertainment Inc.,Ateam Entertainment Inc.
1880,Gatewalkers (Alpha),June,2020,0,"20,000","50,000","35,000",A2 Softworks,A2 Softworks
1881,Tap Tap Infinity,June,2015,0,"200,000","500,000","350,000",Scary Bee LLC,Scary Bee LLC
1882,King’s Bounty: Legions,December,2013,0,"200,000","500,000","350,000",Nival,Nival
1883,Big Bang Empire,August,2016,0,"100,000","200,000","150,000",Playata GmbH,European Games Group AG
1884,Champions of Regnum,May,2007,0,"200,000","500,000","350,000",Nimble Giant Entertainment,Nimble Giant Entertainment
1885,Star Trek Timelines,January,2016,0,"200,000","500,000","350,000",Tilting Point,Tilting Point
1886,CABAL Online,February,2016,0,"200,000","500,000","350,000",ESTgames Corp.,ESTsoft Inc.
1887,KOEWOTAYORINI / 声之寄托,March,2018,0,"100,000","200,000","150,000",あみそ組,"Pujia8 Studio, Gamera Game"
1888,Survived By,December,2018,0,"200,000","500,000","350,000",Human Head Studios,Digital Extremes
1889,SolForge,July,2016,0,"200,000","500,000","350,000",Stone Blade Entertainment,Stone Blade Entertainment
1890,Shadowrun Chronicles - Boston Lockdown,April,2015,0,"200,000","500,000","350,000",Cliffhanger Productions,Cliffhanger Productions
1891,Untrusted,May,2021,0,"100,000","200,000","150,000",evolvedlabs,evolvedlabs
1892,Dungeon Defenders Eternity,July,2014,0,"100,000","200,000","150,000",Nom Nom Games,Trendy Entertainment
1893,Your Chronicle,April,2021,0,"100,000","200,000","150,000",Samurai Games,Samurai Games
1894,Soul Dossier,January,2021,0,"100,000","200,000","150,000",（Hong Kong）GKD Game Studio,鸽屋咕游戏
1895,March of Empires,December,2017,0,"200,000","500,000","350,000",Gameloft,Gameloft
1896,Siege Survival: Gloria Victis Prologue,August,2020,0,"200,000","500,000","350,000","Black Eye Games, FishTankStudio",Ravenscourt
1897,Ragnarok Clicker,August,2016,0,"200,000","500,000","350,000",Playsaurus,Gravity Interactive
1898,Savage Resurrection,August,2016,0,"50,000","100,000","75,000","S2 Games, LLC","S2 Games, LLC"
1899,圣歌德嘉的晚钟,December,2021,0,"100,000","200,000","150,000",二律背反,旅人计划
1900,Sniper 3D Assassin: Free to Play,September,2018,0,"200,000","500,000","350,000",Fun Games For Free,Fun Games For Free
1901,SC2VN - The eSports Visual Novel,September,2015,0,"100,000","200,000","150,000",Team Eleven,Team Eleven
1902,SpellForce 3: Versus Edition,November,2020,0,"100,000","200,000","150,000",Grimlore Games,THQ Nordic
1903,Rend,March,2019,29.99,"50,000","100,000","75,000",Frostkeep Studios,Frostkeep Studios
1904,Succubus Rem,December,2017,1.99,"50,000","100,000","75,000",とらいあんぐる！,Paradise Project
1905,Immune - True Survival,December,2016,0,"100,000","200,000","150,000",vidiludi games and entertainment,vidiludi games and entertainment
1906,ANOTHER EDEN,March,2021,0,"200,000","500,000","350,000","WFS, Inc.","WFS, Inc."
1907,The Elder Scrolls Online - Elsweyr,May,2019,51.59,"20,000","20,000","20,000",Zenimax Online Studios,Bethesda Softworks
1908,坦率的小红帽和爱说谎的狼,January,2020,0,"50,000","100,000","75,000",USAGI STORE,Pujia8 Studio
1909,Aberoth,July,2015,0,"200,000","500,000","350,000","Jarbit, Castle art by Yuriy Gusev",Jarbit
1910,DOTOKOI / 像素男友,December,2019,0,"50,000","100,000","75,000",HIROKO IMAKI,Pujia8 Studio
1911,Legends of Aria,July,2020,29.99,"20,000","50,000","35,000",Citadel Studios Inc,Citadel Studios Inc
1912,Bombix,March,2018,0,"200,000","500,000","350,000",Pragmatix Ltd,Pragmatix Ltd
1913,Project Genom,October,2016,0,"200,000","500,000","350,000",NeuronHaze,NeuronHaze
1914,NOeSIS_诉说谎言记忆物语,March,2020,0,"50,000","100,000","75,000",Classic Chocolat,"Red × Balloon, Hikare 个人汉化"
1915,Tabletopia,November,2016,0,"100,000","200,000","150,000",Tabletopia,Tabletopia
1916,Steambirds Alliance,August,2019,0,"200,000","500,000","350,000",Spry Fox LLC,Spry Fox LLC
1917,Wurm Online,December,2012,0,"200,000","500,000","350,000",Code Club AB,Code Club AB
1918,Royal Quest,August,2014,0,"500,000","1,000,000","750,000",Katauri,1C Online Games
1919,永冻之壳 The Shell of Permafrost,December,2018,0,"50,000","100,000","75,000",mayiyamore,迷糊的安安
1920,Cadria Item Shop,August,2018,0,"200,000","500,000","350,000",Orange Cat Studio,BEST KIRIN GLOBAL LIMITED
1921,Continent of the Ninth Seal,September,2012,0,"500,000","1,000,000","750,000","VALOFE, Webzen",VALOFE
1922,The Bard's Tale IV: Barrows Deep,September,2018,34.99,"50,000","100,000","75,000",inXile Entertainment,inXile Entertainment
1923,Wild Terra Online,December,2017,0,"200,000","500,000","350,000",Juvty Worlds Ltd.,Juvty Worlds Ltd.
1924,Destination Sol,February,2015,0,"500,000","1,000,000","750,000",MovingBlocks,MovingBlocks
1925,Folk Tale,January,1986,11.99,"200,000","500,000","350,000",Games Foundry,Games Foundry
1926,Book of Yog Idle RPG,July,2022,0,"200,000","500,000","350,000",QiHeShe Technology Co.Ltd,QiHeShe Technology Co.Ltd
1927,CUPID - A free to play Visual Novel,March,2016,0,"100,000","200,000","150,000",Fervent,Afterthought Studios
1928,Pixel Starships,May,2020,0,"200,000","500,000","350,000",SavySoda,SavySoda
1929,Astellia,January,2020,29.99,"20,000","50,000","35,000",Studio 8,Friends Games Corp.
1930,Velvet Sundown,July,2014,0,"500,000","1,000,000","750,000",Tribe Studios,Tribe Studios
1931,Game of Thrones Winter is Coming,November,2019,0,"200,000","500,000","350,000",YOUZU (SINGAPORE) PTE. LTD.,YOUZU (SINGAPORE) PTE. LTD.
1932,The Desolate Hope,May,2014,9.99,"500,000","1,000,000","750,000",Scott Cawthon,Scott Cawthon
1933,Guns and Robots,August,2014,0,"200,000","500,000","350,000",Masthead Studios Ltd,"Masthead Studios Ltd, Thegamewallstudios, Gamigo AG"
1934,Heroine's Quest: The Herald of Ragnarok,March,2014,0,"200,000","500,000","350,000",Crystal Shard,Crystal Shard
1935,仙剑奇侠传九野,October,2020,0,"200,000","500,000","350,000",软星科技（上海）有限公司,"SOFTSTAR TECHNOLOGY (SHANGHAI) CO., LTD"
1936,Guild Quest,January,2017,0,"200,000","500,000","350,000",Hyper Hippo Games,Hyper Hippo Games
1937,Spellsworn,March,2018,0,"100,000","200,000","150,000",Frogsong Studios,Frogsong Studios
1938,Metal Waltz: Anime tank girls,April,2017,0,"200,000","500,000","350,000","Shanghai JingCai Computer Software Development Co., Ltd","Shanghai JingCai Computer Software Development Co., Ltd"
1939,The Black Death,April,2016,19.99,"50,000","100,000","75,000","Syrin Studios, Small Impact Games",Syrin Studios
1940,像素女友,August,2020,0,"100,000","200,000","150,000",HIROKO IMAKI,Pujia8 Studio
1941,Black Book: Prologue,May,2020,0,"50,000","100,000","75,000",Morteshka,HypeTrain Digital
1942,Inferna,December,2019,0,"200,000","500,000","350,000",INFERNA LIMITED,INFERNA LIMITED
1943,Eldevin,November,2014,0,"200,000","500,000","350,000",Hunted Cow Studios,Hunted Cow Studios
1944,Jesus Christ RPG Trilogy,March,2016,0,"100,000","200,000","150,000",Wholetone Games,Wholetone Games
1945,Mighty Party,March,2017,0,"200,000","500,000","350,000",Panoramik Inc,Panoramik Inc
1946,Warfork,August,2019,0,"200,000","500,000","350,000",Team Forbidden,Team Forbidden
1947,EverQuest,December,2012,0,"500,000","1,000,000","750,000",Darkpaw Games,Daybreak Game Company
1948,狐の旅路,January,2020,0,"100,000","200,000","150,000",狐の旅路制作组,DZ
1949,Midas Gold Plus,February,2017,0,"200,000","500,000","350,000",Holyday Studios,Holyday Studios
1950,There is No GreenDam,November,2019,0,"100,000","200,000","150,000",格林达姆136工程团,格林达姆136工程团
1951,At Home Alone,November,2018,0,"100,000","200,000","150,000",阿正不经,0Cube
1952,Mortal Online,August,2015,0,"500,000","1,000,000","750,000",Star Vault AB,Star Vault AB
1953,Age of Conan: Unchained,February,2013,0,"500,000","1,000,000","750,000",Funcom,Funcom
1954,Warspear Online,November,2017,0,"200,000","500,000","350,000",AIGRIND,AIGRIND
1955,Dragon Nest,December,2012,0,"500,000","1,000,000","750,000",Eyedentity Games Inc.,Eyedentity Games Inc.
1956,Oasis VR,December,2019,0,"100,000","200,000","150,000",Oasis VR,Oasis VR Inc.
1957,Epic Battle Fantasy 3,September,2010,0,"200,000","500,000","350,000",Matt Roszak,Matt Roszak
1958,"BEARS, VODKA, BALALAIKA!",November,2019,1.99,"50,000","100,000","75,000",Rabotiagi games,Rabotiagi games
1959,Hunger Dungeon,December,2016,0,"200,000","500,000","350,000",No Stuck Game Studio,No Stuck Game Studio
1960,Grim Clicker,January,2020,0,"100,000","200,000","150,000",EvilCharm Games,EvilCharm Games
1961,The SKIES - BETA,April,2016,0,"1,000,000","2,000,000","1,500,000",Eforb,Eforb
1962,ChilloutVR,February,2021,0,"200,000","500,000","350,000",Alpha Blend Interactive,Alpha Blend Interactive
1963,Dreamscaper: Prologue,April,2020,0,"200,000","500,000","350,000",Afterburner Studios,"Afterburner Studios, Maple Whispering Limited"
1964,Ragnarok Online 2,May,2013,0,"1,000,000","2,000,000","1,500,000","Gravity, Inc.",Gravity Interactive
1965,MU Legend,August,2018,0,"500,000","1,000,000","750,000",VALOFE,VALOFE
1966,Kingdom Wars,April,2013,0,"500,000","1,000,000","750,000",Reverie World Studios,Space Bullet Dynamics Corporation
1967,Insanity Clicker,June,2016,0,"500,000","1,000,000","750,000",PlayFlock,PlayFlock
1968,NosTale - Anime MMORPG,September,2017,0,"500,000","1,000,000","750,000","Entwell Co., Ltd.",Gameforge 4D GmbH
1969,New Frontier,December,2019,0,"500,000","1,000,000","750,000",Free Reign Entertainment,Free Reign Entertainment
1970,Rakion Chaos Force,March,2020,0,"500,000","1,000,000","750,000","Neosonyx Co., Ltd.","Neosonyx Co., Ltd."
1971,Villagers and Heroes,April,2014,0,"500,000","1,000,000","750,000",Mad Otter Games,Mad Otter Games
1972,The Life and Suffering of Sir Brante — Chapter 1&2,December,2020,0,"100,000","200,000","150,000",Sever,101XP
1973,九劫曲：诅咒之地 NINE TRIALS,June,2019,0,"200,000","500,000","350,000",爱玩工作室,爱玩工作室
1974,Forge of Gods (RPG),May,2016,0,"500,000","1,000,000","750,000",Panoramik Inc,Panoramik Inc
1975,Onmyoji,April,2018,0,"200,000","500,000","350,000",NetEase Games,NetEase Games
1976,Bit Heroes,December,2017,0,"500,000","1,000,000","750,000",Juppiomenz,Kongregate
1977,Open World Game: the Open World Game,November,2019,0,"50,000","100,000","75,000",Morning Person Games,Morning Person Games
1978,RPG MO,August,2015,0,"200,000","500,000","350,000",Marxnet,Marxnet
1979,Legend of Keepers: Prologue,October,2019,0,"200,000","500,000","350,000",Goblinz Studio,Goblinz Publishing
1980,Depression Quest,August,2014,0,"200,000","500,000","350,000","The Quinnspiracy, Patrick Lindsey, Isaac Schankler",The Quinnspiracy
1981,Skyforge,April,2017,0,"500,000","1,000,000","750,000",Allods Team,Music Guru LLC
1982,Prison Simulator: Prologue,May,2021,0,"200,000","500,000","350,000",Baked Games S.A.,"Baked Games S.A., PlayWay S.A."
1983,Shop Heroes,August,2016,0,"500,000","1,000,000","750,000","Cloudcade, Inc.","Cloudcade, Inc."
1984,Animation Throwdown: The Quest for Cards,May,2017,0,"200,000","500,000","350,000","Synapse Games, Chinzilla",Kongregate
1985,MINDNIGHT,August,2017,0,"200,000","500,000","350,000",No Moon,No Moon
1986,Dying Light: Bad Blood,September,2018,0,"100,000","200,000","150,000",Techland,Techland Publishing
1987,Sunrider: Mask of Arcadius,July,2014,0,"500,000","1,000,000","750,000",Love in Space,Sekai Project
1988,Mabinogi,December,2012,0,"500,000","1,000,000","750,000",NEXON Korea Corp.,Nexon America Inc.
1989,Angel Legion,August,2020,0,"100,000","200,000","150,000",Shanghai SilverMoon Network Technology Co.Ltd,Shanghai SilverMoon Network Technology Co.Ltd
1990,Hero Zero,July,2016,0,"200,000","500,000","350,000",Playata GmbH,European Games Group AG
1991,Infinity Wars: Animated Trading Card Game,September,2014,0,"500,000","1,000,000","750,000",Lightmare Studios,"Lightmare Studios, Yodo1 Games"
1992,8BitMMO,January,2015,0,"50,000","100,000","75,000",Archive Entertainment,Archive Entertainment
1993,异化之恶〇Abnormal Treatment,August,2019,0,"200,000","500,000","350,000",Eternal Dream,"Eternal Dream, 迷糊的安安"
1994,Nomad,June,2015,0,"500,000","1,000,000","750,000",Diminished Studios,Diminished Studios
1995,Life is Feudal: MMO,January,2018,0,"200,000","500,000","350,000",Bitbox Ltd.,Bitbox Ltd.
1996,School of Dragons,December,2014,0,"500,000","1,000,000","750,000","JumpStart Games, Inc.","JumpStart Games, Inc."
1997,MARVEL Puzzle Quest,December,2013,0,"500,000","1,000,000","750,000",Broken Circle Studios,D3 Go!
1998,Lords Mobile,June,2019,0,"500,000","1,000,000","750,000",IGG SINGAPORE PTE. LTD.,IGG SINGAPORE PTE. LTD.
1999,Stoneshard: Prologue,June,2018,0,"200,000","500,000","350,000",Ink Stains Games,HypeTrain Digital
2000,Touhou Big Big Battle,April,2020,0,"100,000","200,000","150,000",MyACG Studio,MyACG Studio
2001,Shadow Arena,May,2020,0,"1,000,000","2,000,000","1,500,000",Pearl Abyss,Pearl Abyss
2002,Never Split the Party,September,2018,0,"500,000","1,000,000","750,000",Legend Studio,Legend Studio
2003,MOBIUS FINAL FANTASY,February,2017,0,"1,000,000","2,000,000","1,500,000",Square Enix,Square Enix
2004,Wasteland Survival,June,2019,0,"500,000","1,000,000","750,000","Joyloft Co., Limited","Joyloft Co., Limited"
2005,Endless World Idle RPG,August,2019,0,"200,000","500,000","350,000",Radiance Games,Radiance Games
2006,League of Maidens,February,2021,0,"500,000","1,000,000","750,000",Maiden Gaming Inc.,Maiden Gaming Inc.
2007,Panzar,April,2013,0,"500,000","1,000,000","750,000",Panzar Studio,OVALIS INVESTMENTS LIMITED
2008,Closers,February,2018,0,"500,000","1,000,000","750,000",Naddic Games,Naddic Games
2009,Firestone Idle RPG,September,2019,0,"200,000","500,000","350,000",Holyday Studios,Holyday Studios
2010,Kritika:REBOOT,November,2019,0,"500,000","1,000,000","750,000","ALLM Co., Ltd.","ALLM Co., Ltd."
2011,Strife,May,2015,0,"500,000","1,000,000","750,000",S2 Games,S2 Games
2012,Bless Online,October,2018,0,"1,000,000","2,000,000","1,500,000",NEOWIZ BLESS STUDIO,NEOWIZ
2013,The Riftbreaker: Prologue,August,2020,0,"200,000","500,000","350,000",EXOR Studios,"EXOR Studios, Surefire.Games"
2014,Wizard101,September,2008,0,"500,000","1,000,000","750,000",KingsIsle Entertainment,KingsIsle Entertainment
2015,Dungeons & Dragons Online,June,2012,0,"1,000,000","2,000,000","1,500,000","Standing Stone Games, LLC","Standing Stone Games, LLC"
2016,Backbone: Prologue,April,2019,0,"200,000","500,000","350,000",EggNut,Raw Fury
2017,Tactical Monsters Rumble Arena,January,2018,0,"500,000","1,000,000","750,000",Camex Games,Camex Games
2018,Confess My Love,May,2017,0,"200,000","500,000","350,000",LR Studio,LR Studio
2019,Left on Read,May,2020,0,"200,000","500,000","350,000",Weston Bell-Geddes,Spookulele Games
2020,Word Game: Episode 0,January,2021,0,"200,000","500,000","350,000",Team9,Team9
2021,Planet Explorers,November,2016,0,"200,000","500,000","350,000",Pathea Games,Pathea Games
2022,Soda Dungeon 2,July,2020,0,"500,000","1,000,000","750,000","AN Productions, Poxpower",Armor Games Studios
2023,the static speaks my name,August,2015,0,"200,000","500,000","350,000",the whale husband,the whale husband
2024,Tree of Life,August,2017,0,"200,000","500,000","350,000",OddOneGames,OddOneGames
2025,Knight Online,January,2016,0,"2,000,000","5,000,000","3,500,000","Noah System, Mgame",NTTGame
2026,Realm Grinder,June,2017,0,"500,000","1,000,000","750,000",Divine Games,Kongregate
2027,Endless Sky,October,2015,0,"500,000","1,000,000","750,000",Michael Zahniser,Michael Zahniser
2028,Soda Dungeon,February,2017,0,"500,000","1,000,000","750,000","AN Productions, Poxpower",Armor Games Studios
2029,Digimon Masters Online,November,2016,0,"1,000,000","2,000,000","1,500,000","Move Games Co., Ltd.",MOVE ON USA CO.
2030,BLEACH Brave Souls,August,2020,0,"500,000","1,000,000","750,000",KLab Inc.,KLab Inc.
2031,SAS: Zombie Assault 4,October,2017,0,"500,000","1,000,000","750,000",Ninja Kiwi,Ninja Kiwi
2032,AdventureQuest 3D,October,2016,0,"200,000","500,000","350,000","Artix Entertainment, LLC","Artix Entertainment, LLC"
2033,ARK: Survival Of The Fittest,August,2017,19.99,"5,000,000","10,000,000","7,500,000","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard
2034,Soulworker,October,2020,0,"1,000,000","2,000,000","1,500,000","Lion Games Co., Ltd.","Lion Games Co., Ltd."
2035,Elsword,July,2014,0,"1,000,000","2,000,000","1,500,000",KOG,KOG Games
2036,MapleStory,August,2012,0,"1,000,000","2,000,000","1,500,000",Nexon,Nexon America Inc.
2037,Aura Kingdom,July,2014,0,"2,000,000","5,000,000","3,500,000",X-Legend,Aeria Games
2038,Riders of Icarus,July,2016,0,"1,000,000","2,000,000","1,500,000","WeMade, VALOFE",VALOFE
2039,Gems of War - Puzzle RPG,November,2014,0,"1,000,000","2,000,000","1,500,000",Infinity Plus 2,505 Games
2040,DRAGON QUEST XI: Echoes of an Elusive Age - Digital Edition of Light,September,2018,49.99,"200,000","500,000","350,000",Square Enix,Square Enix
2041,Legends of IdleOn - Idle MMO,April,2021,0,"500,000","1,000,000","750,000",Lavaflame2,Lavaflame2
2042,Stay Out,November,2019,0,"2,000,000","5,000,000","3,500,000",Mobile Technologies LLC,Mobile Technologies LLC
2043,SEGA Mega Drive and Genesis Classics,June,2010,24.79,"1,000,000","2,000,000","1,500,000",D3T Limited,SEGA
2044,Walking Zombie 2,October,2019,0,"200,000","500,000","350,000",Alda Games,Alda Games
2045,封灵档案,March,2021,0,"1,000,000","2,000,000","1,500,000",（Hong Kong）GKD,（Hong Kong）GKD
2046,Paunch,December,2019,0,"500,000","1,000,000","750,000",Kozhakov,Kozhakov
2047,Will To Live Online,April,2018,0,"500,000","1,000,000","750,000",AlphaSoft LLC,AlphaSoft LLC
2048,Shop Titans,May,2020,0,"1,000,000","2,000,000","1,500,000","Kabam Games, Inc.","Kabam Games, Inc."
2049,Gothic Playable Teaser,December,2019,0,"500,000","1,000,000","750,000",THQ Nordic Barcelona,THQ Nordic
2050,Grimm's Hollow,October,2019,0,"500,000","1,000,000","750,000",ghosthunter,ghosthunter
2051,Metin2,December,2006,0,"2,000,000","5,000,000","3,500,000",WEBZEN Inc.,Gameforge 4D GmbH
2052,Infestation: Survivor Stories 2020,January,1988,0,"1,000,000","2,000,000","1,500,000",Fredaikis AB,OP Productions LLC
2053,Old School RuneScape,February,2013,0,"1,000,000","2,000,000","1,500,000",Jagex Ltd,Jagex Ltd
2054,Spellbreak,December,2020,0,"1,000,000","2,000,000","1,500,000","Proletariat, Inc.","Proletariat, Inc."
2055,Eternal Senia,June,2015,0,"500,000","1,000,000","750,000",Sanctum Games,Sanctum Games
2056,Action Taimanin,October,2020,0,"1,000,000","2,000,000","1,500,000",LiLith,Infini-Brain inc.
2057,SoulWorker - Anime Action MMO,February,2018,0,"2,000,000","5,000,000","3,500,000","Lion Games Co., Ltd.",Gameforge 4D GmbH
